country_name,iso_2,calling_code,expected_regex
Egypt,EG,20,^[1-9][0-9]{9}$
Saudi Arabia,SA,966,^5[0-9]{8}$
United Arab Emirates,AE,971,^5[0-9]{8}$
Kuwait,KW,965,^[569][0-9]{7}$
United States/Canada,US/CA,1,^[2-9][0-9]{9}$
United Kingdom,GB,44,^[1-9][0-9]{9-10}$
Germany,DE,49,^[1-9][0-9]{9-11}$
France,FR,33,^[1-9][0-9]{8}$
Italy,IT,39,^3[0-9]{8-9}$
Spain,ES,34,^[6-9][0-9]{8}$
Netherlands,NL,31,^[1-9][0-9]{8}$
Belgium,BE,32,^4[0-9]{8}$
Switzerland,CH,41,^[1-9][0-9]{8}$
Austria,AT,43,^[1-9][0-9]{9-11}$
Sweden,SE,46,^[1-9][0-9]{8-9}$
Norway,NO,47,^[49][0-9]{7}$
Denmark,DK,45,^[2-9][0-9]{7}$
Finland,FI,358,^[1-9][0-9]{7-9}$
Poland,PL,48,^[4-9][0-9]{8}$
Czech Republic,CZ,420,^[1-9][0-9]{8}$
Greece,GR,30,^[2679][0-9]{9}$
Portugal,PT,351,^[1-9][0-9]{8}$
Ireland,IE,353,^[1-9][0-9]{8-9}$
Australia,AU,61,^[2-9][0-9]{8}$
New Zealand,NZ,64,^[2-9][0-9]{7-9}$
Japan,JP,81,^[1-9][0-9]{9-10}$
China,CN,86,^1[3-9][0-9]{9}$
South Korea,KR,82,^1[0-9]{9-10}$
India,IN,91,^[6-9][0-9]{9}$
Pakistan,PK,92,^3[0-9]{9}$
Bangladesh,BD,880,^1[3-9][0-9]{8}$
Philippines,PH,63,^9[0-9]{9}$
Indonesia,ID,62,^8[0-9]{9-11}$
Thailand,TH,66,^[689][0-9]{8}$
Malaysia,MY,60,^1[0-9]{8-9}$
Singapore,SG,65,^[689][0-9]{7}$
Vietnam,VN,84,^[3-9][0-9]{8}$
Turkey,TR,90,^5[0-9]{9}$
Russia,RU,7,^[349][0-9]{9}$
Ukraine,UA,380,^[3-9][0-9]{8}$
South Africa,ZA,27,^[1-9][0-9]{8}$
Nigeria,NG,234,^[7-9][0-9]{9}$
Kenya,KE,254,^[17][0-9]{8}$
Morocco,MA,212,^[5-7][0-9]{8}$
Algeria,DZ,213,^[5-7][0-9]{8}$
Tunisia,TN,216,^[2-9][0-9]{7}$
Jordan,JO,962,^7[7-9][0-9]{7}$
Lebanon,LB,961,^[3-9][0-9]{7}$
Bahrain,BH,973,^[3-9][0-9]{7}$
Oman,OM,968,^[79][0-9]{7}$
Qatar,QA,974,^[3-7][0-9]{7}$
Israel,IL,972,^5[0-9]{8}$
Brazil,BR,55,^[1-9][0-9]{10}$
Argentina,AR,54,^9[0-9]{9-10}$
Mexico,MX,52,^[1-9][0-9]{9-10}$
Chile,CL,56,^[2-9][0-9]{8}$
Colombia,CO,57,^3[0-9]{9}$
Peru,PE,51,^9[0-9]{8}$
